书名,作者,出版社,年份,评分,评价人数,一句话评语
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 , 中信出版社 , 2011-10-24 ,8.7,57108,完美主义者的最高形态
阿勒泰的角落,李娟 , 万卷出版公司 , 2010-6 ,9.1,17795,白雪和阳光，青草和白桦林
万水千山走遍,三毛 , 哈尔滨出版社 , 2003-08 ,8.9,42922,从遥远的撒哈拉到敦煌戈壁
我的天才女友,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-1 ,8.7,93252,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
爱的艺术,[美] 艾·弗洛姆 , 上海译文出版社 , 2008-4 ,8.8,41886,谦恭地、勇敢地、真诚地和有纪律地爱他人
德米安,[德] 赫尔曼·黑塞 , 上海人民出版社 , 2009-3 ,8.9,29425,少年辛克莱寻找通向自身之路的艰辛历程
全球通史(上),[美]斯塔夫里阿诺斯 , 北京大学出版社 , 2006-1-10 ,9.2,15825, 
长日将尽,[英] 石黑一雄 , 上海译文出版社 , 2018-5 ,8.9,27364, 
温柔的夜,三毛 , 北京十月文艺出版社 , 2007-5 ,9.1,21374,三毛在加纳利群岛的生活
13 67,陳浩基 , 皇冠文化出版有限公司 , 2014-6-9 ,9.1,16269, 
不能承受的生命之轻,米兰·昆德拉 , 上海译文出版社 , 2010-8 ,8.8,41893, 
霸王别姬,李碧华 , 人民文学出版社 , 1999-1 ,9.1,19916,人间，只是抹去了脂粉的脸
球状闪电,刘慈欣 , 四川科学技术出版社 , 2005-6 ,8.7,74909,量子之外，没有真相
亮剑,都梁 , 解放军文艺出版社 , 2005-3 ,9.0,27317,面对强大的对手，明知不敌，也要毅然亮剑
我不知道该说什么，关于死亡还是爱情,[白俄] S·A·阿列克谢耶维奇 , 花城出版社 , 2014-6-15 ,9.1,18310,真实记录切尔诺贝利核灾难事件
古文观止,吴楚材 , 中华书局 , 1987-1-1 ,9.1,17561,收录自先秦至明末的散文二百二十二篇
少年凯歌,陈凯歌 , 人民文学出版社 , 2001-6 ,9.3,11069, 
我也有一个梦想,林达 , 生活·读书·新知三联书店 , 2004-08 ,9.0,15082,在法治国家里，民众怎样运用法律
我的阿勒泰,李娟 , 云南人民出版社 , 2010-7 ,8.9,24371,描写疆北阿勒泰地区生活和风情的原生态散文集
社会心理学,[美] 戴维·迈尔斯 , 人民邮电出版社 , 2006-1 ,9.0,24532,人们是如何思索、影响他人并与他人建立联系的
倾城之恋,张爱玲 , 北京十月文艺出版社 , 2006-12 ,8.7,48115,“一对平凡的夫妻”之间的“一点真心”
遥远的向日葵地,李娟 , 花城出版社 , 2017-11 ,9.1,19197, 
一句顶一万句,刘震云 , 长江文艺出版社 , 2009-3 ,8.7,58492,一句胜过千年
浮生六记,（清）沈复 , 人民文学出版社 , 1999-1 ,8.8,64648,苟不记之笔墨，未免有辜彼苍之厚
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德 , 上海文艺出版社 , 2015-6-1 ,9.1,17234,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
麦琪的礼物,[美] 欧·亨利 , 上海社会科学院出版社 , 2003-7 ,8.7,71089,日常的奇迹
强风吹拂,三浦紫苑 , 广西师范大学出版社 , 2015-1-1 ,9.0,20735,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
九州·缥缈录,江南 , 新世界出版社 , 2005-6 ,8.8,30324,乱世的英雄史诗
鹿川有许多粪,李沧东 , 武汉大学出版社 , 2021-8 ,9.0,18389, 
送你一颗子弹,刘瑜 , 上海三联书店 , 2010-1 ,8.6,138626,在这本书里，被“审视”的东西杂七杂八
孩子你慢慢来,龙应台 , 生活·读书·新知三联书店 , 2009-12-1 ,8.7,75467,我们现在怎样做母亲
天朝的崩溃,茅海建 , 生活·读书·新知三联书店 , 2005-7 ,9.1,13581,鸦片战争再研究
万物有灵且美,[英] 吉米·哈利 , 中国城市出版社 , 2010-1 ,8.9,21550,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
草房子,曹文轩 , 江苏少年儿童出版社 , 2009-6 ,9.0,42912,男孩桑桑刻骨铭心、终身难忘的六年小学生活
情书,[日] 岩井俊二 , 天津人民出版社 , 2004-7 ,8.6,101731,一场同名同姓的误会，两段可贵的爱情
银河系漫游指南,[英] 道格拉斯·亚当斯 , 四川科学技术出版社 , 2005-6 ,8.8,20783,一场穿越银河的冒险
渴望生活,[美] 欧文·斯通 , 北京十月文艺出版社 , 2008-4 ,9.2,11044,梵高悲惨而成就辉煌的人生
安娜·卡列尼娜,[俄] 列夫·托尔斯泰 , 上海文艺出版社 , 2007-8 ,9.2,22371, 
恶意,[日] 东野圭吾 , 南海出版公司 , 2016-11-1 ,8.7,88906, 
野火集,龙应台 , 文汇出版社 , 2005-8 ,8.8,33997,中国人，你为什么不生气
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 , 人民文学出版社 , 2006-5 ,8.7,45540,阿加莎·克里斯蒂代表作
罗生门,[日] 芥川龙之介 , 上海译文出版社 , 2008-7 ,8.7,63732,人生，远比地狱更像地狱
半生缘,张爱玲 , 北京十月文艺出版社 , 2006-12 ,8.6,79135,世钧，我们回不去了
2001：太空漫游,[英] 阿瑟·克拉克 , 上海文艺出版社 , 2019-5-10 ,9.3,16024, 
额尔古纳河右岸,迟子建 , 北京十月文艺出版社 , 2005-12-1 ,9.0,21286,东北少数民族鄂温克人生存现状及百年沧桑
倚天屠龙记,金庸 , 生活·读书·新知三联书店 , 1999-04 ,8.7,57537,不识张郎是张郎
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2013-6 ,8.7,39313,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯
理想国,[古希腊] 柏拉图 , 商务印书馆 , 1986-8 ,8.8,31941,人类历史上最早的乌托邦
雨季不再来,三毛 , 北京十月文艺出版社 , 2007-7 ,8.7,51283,三毛少女时代的成长感受
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 , 上海译文出版社 , 2006-4-1 ,8.7,45245,人类社会的命运
激荡三十年,吴晓波 , 中信出版社 , 2008-7-1 ,8.6,17037,中国企业1978—2008
你好，旧时光（上 下）,八月长安 , 新世界出版社 , 2009-12 ,8.7,45708,原作名切题
雷雨,曹禺 , 人民文学出版社 , 1999-05 ,8.7,73350,一幕人生大悲剧，在一个雷雨夜爆发
目送,龙应台 , 生活·读书·新知三联书店 , 2009-10 ,8.6,205205,不必追
一千零一夜,纳训 , 人民文学出版社 , 2003-01 ,8.7,54775,阿拉伯地区的古代民间传说
冰与火之歌,乔治·马丁 , 重庆出版社 , 2013-10-1 ,9.5,15152,乔治·R·R·马丁史诗奇幻小说
最好的我们,八月长安 , 湖南文艺出版社 , 2013-8-5 ,8.7,68082,耿耿余淮
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫 , 江苏凤凰文艺出版社 , 2015-10-1 ,9.5,12219,阿西莫夫经典科幻小说
亲爱的安德烈,龙应台 , 人民文学出版社 , 2008-12 ,8.6,117857,弭平代沟，跨越文化阻隔
顾城的诗,顾城 , 人民文学出版社 , 1998-12 ,8.8,24158,火焰是我们诗歌唯一的读者
孙子兵法,孙武 , 上海古籍出版社 , 2006-7 ,9.4,11723,我国最古老最杰出的一部兵书
当呼吸化为空气,[美] 保罗·卡拉尼什 , 浙江文艺出版社 , 2016-12 ,8.9,24898,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
你一生的故事,[美] 特德·姜 , 译林出版社 , 2015-5 ,8.8,31563,特德·姜科幻小说集
解忧杂货店,[日] 东野圭吾 , 南海出版公司 , 2014-5 ,8.5,725872,现代人内心流失的东西，这家杂货店能帮你找回
认识电影,[美] 路易斯·贾内梯 , 世界图书出版公司 , 2007-11 ,8.9,17418,电影入门经典之作
论语,刘胜利 , 中华书局 , 2006-12 ,9.1,20766,仁远乎哉？我欲仁，斯仁至矣
荒原狼,[德]赫尔曼·黑塞 , 上海译文出版社 , 2008-7 ,9.0,18586,“超现实主义”风格作品，德国的《尤利西斯》
水浒传（全二册）,[明] 施耐庵 , 人民文学出版社 , 1997-1 ,8.7,70817,替天行道
众病之王,[美] 悉达多·穆克吉 , 中信出版社 , 2013-2 ,9.1,11920,癌症传
总统是靠不住的,林达 , 生活·读书·新知三联书店 , 2004-08 ,8.8,19879,美国政治法律制度的基本原理和操作细节
天生有罪,[南非] 特雷弗·诺亚 , 北京联合出版公司 , 2018-2-1 ,9.1,15196, 
